Sample,X,Y,Z
181,0.1460,-0.1011,1.0229
182,0.0559,0.0842,0.8599
183,0.1641,0.0464,0.8928
184,-0.1021,-0.0137,0.9985
185,-0.0708,-0.0872,1.0969
186,-0.3218,-0.0676,1.0464
187,-0.0740,0.0237,0.8850
188,-0.2827,0.1453,0.8325
189,-0.0125,0.1177,0.8401
190,-0.2271,-0.0684,1.0513
191,0.0312,0.0435,0.9016
192,0.0630,-0.0771,1.0920
193,0.0361,-0.1150,1.0845
194,0.2292,0.0415,0.9565
195,0.1790,0.0229,0.9565
196,0.0090,-0.1165,0.9448
197,0.0244,-0.0293,0.9973
198,-0.0239,-0.0149,1.1038
199,0.0537,0.0889,0.9856
200,-0.0383,-0.0183,0.9536
201,-0.2458,0.0327,0.9915
202,-0.0027,0.1279,0.9038
203,-0.0437,0.1077,1.0396
204,-0.0334,0.1636,0.9788
205,0.1379,0.1707,1.0452
206,-0.0457,0.0305,0.8550
207,0.1704,0.0481,1.1067
208,0.0100,-0.0032,1.0181
209,0.1538,0.0303,0.8792
210,0.1484,-0.0139,0.9651
211,0.1235,-0.1013,0.9602
212,-0.2153,-0.1558,1.1733
213,0.2078,-0.0869,0.9868
214,-0.1763,-0.0955,0.8833
215,0.1333,-0.0798,1.0315
216,0.0801,0.0051,1.0627
217,-0.0732,0.0110,0.8647
218,-0.2380,-0.0056,1.0862
219,-0.1118,0.0652,0.9126
220,0.0137,0.2117,0.9048
221,0.0193,0.1477,0.8804
222,0.0295,0.0967,1.0217
223,-0.0425,0.0122,1.0493
224,0.1155,0.1248,1.0288
225,0.0969,0.1287,0.8713
226,0.0996,-0.0637,1.0002
227,0.2183,0.0156,1.0071
228,0.0344,-0.0908,1.1418
229,-0.0532,-0.0232,1.0366
230,-0.2603,-0.2080,1.0327
231,-0.1975,-0.0452,1.0022
232,-0.0701,0.0229,0.8254
233,-0.1121,0.1091,0.9075
234,-0.0347,-0.0303,1.0139
235,-0.1836,0.0647,0.9045
236,0.1489,0.0542,1.0383
237,0.0574,0.0190,1.0530
238,0.1968,0.1401,0.9163
239,-0.0632,0.0024,1.0266
240,0.1855,0.1003,0.8208
241,-0.0337,-0.0198,1.0491
242,-0.1404,-0.0559,1.0950
243,-0.0764,0.0173,1.0298
244,0.0471,0.0142,0.9702
245,0.0835,-0.0239,0.9143
246,-0.2300,-0.1729,0.9124
247,0.2004,-0.0969,1.0786
248,0.0112,0.0459,0.9915
249,0.0703,0.0823,0.9670
250,0.0576,0.1575,1.0432
251,0.0415,0.1738,0.8616
252,0.0369,0.0940,0.9321
253,-0.1006,-0.1448,0.9114
254,0.0229,0.1672,1.1497
255,-0.0605,0.0249,0.9497
256,0.2000,0.0825,0.8997
257,0.0840,-0.0457,0.8801
258,0.1570,-0.0830,1.1646
259,-0.0286,-0.1331,1.0168
260,0.3477,0.0364,1.0728
261,-0.0095,-0.1069,0.9641
262,0.1677,-0.0801,0.9839
263,-0.0481,-0.0481,1.0962
264,-0.3274,-0.0881,0.9631
265,-0.0347,-0.0261,1.0286
266,0.0608,0.0608,0.9468
267,-0.0696,0.2107,0.7358
268,-0.0376,0.0962,1.0100
269,-0.1594,-0.0193,1.1655
270,0.2158,-0.0293,1.0432
271,-0.0403,0.0161,1.0159
272,0.1379,0.1509,0.7417
273,0.2708,0.0149,1.1577
274,0.1548,-0.0571,0.9934
275,0.2075,0.0537,1.0579
276,-0.0977,-0.2461,1.0305
277,0.1633,0.0505,0.9175
278,-0.1292,0.0142,0.9937
279,-0.3462,0.0291,0.9058
280,-0.1211,0.0879,0.9153
281,-0.1340,0.0085,1.1011
282,-0.1553,0.1458,0.8821
283,0.1128,0.2261,0.8772
284,0.0244,-0.1147,0.8530
285,0.1121,-0.1562,1.1802
286,0.2927,-0.0454,0.9546
287,0.2339,-0.0042,0.9563
288,-0.0457,-0.0408,0.9182
289,0.1323,0.0366,1.0999
290,0.0044,0.0146,1.0901
291,-0.1401,0.0010,0.9341
292,-0.1768,0.0703,1.0640
293,-0.0825,0.1201,0.9292
294,-0.0647,0.0061,0.7603
295,-0.2700,-0.1270,0.9282
296,-0.1772,-0.0569,1.0103
297,0.1455,-0.0156,1.0728
298,0.2007,0.0266,1.0325
299,0.0283,-0.0847,0.9124
300,0.1379,0.0000,0.9709
301,0.1501,-0.0286,0.8120
302,0.0583,0.0542,1.0393
303,0.2896,0.1177,1.1165
304,-0.1372,-0.0869,1.0024
305,-0.1177,0.1887,0.7886
306,-0.2405,0.0850,0.8235
307,-0.3433,0.0623,1.1060
308,0.0139,0.0881,1.0483
309,-0.1970,0.1733,0.7913
310,0.1887,0.0554,0.9614
311,-0.0747,-0.0525,1.1460
312,0.4194,-0.0569,0.9329
313,0.1331,-0.2075,1.0083
314,0.1936,-0.0737,0.8335
315,0.1448,-0.0774,1.3032
316,0.1443,0.1040,0.9924
317,-0.2173,-0.0540,0.9146
318,-0.2170,-0.1655,0.9683
319,-0.1855,-0.0068,0.9243
320,0.1155,0.2820,1.1450
321,-0.1858,0.0557,0.9631
322,-0.1719,-0.0442,0.9573
323,0.1133,0.0774,1.0288
324,-0.0422,0.0789,0.9575
325,0.3018,0.2156,0.9810
326,0.0715,0.0554,0.9839
327,0.1472,-0.0537,1.0276
328,0.0701,-0.0522,1.0210
329,0.1230,-0.0107,0.9312
330,0.0352,-0.0215,1.0061
331,0.0496,-0.0769,0.9702
332,-0.0269,0.0527,1.0315
333,-0.1130,-0.0469,0.9397
334,-0.1831,-0.0667,1.0295
335,-0.1431,-0.0261,0.9583
336,-0.1462,-0.0583,1.0061
337,-0.0325,0.0608,1.0278
338,-0.1367,0.1211,0.9858
339,0.2341,0.1470,1.0413
340,0.1812,-0.0190,1.0725
341,0.0710,0.0417,1.0413
342,-0.0210,-0.1299,0.9155
343,0.2131,0.1218,1.0286
344,0.1821,0.0181,1.0549
345,-0.2253,-0.2412,0.9934
346,0.0491,0.0042,0.8257
347,-0.1802,0.0020,0.9194
348,-0.1370,0.0127,1.0608
349,-0.2581,-0.0752,0.9692
350,0.0532,0.0188,1.0415
351,-0.2393,-0.0684,0.9319
352,0.1187,0.0867,0.8977
353,-0.0415,-0.0063,0.9192
354,0.2063,0.0654,1.0171
355,-0.0837,-0.0601,0.9595
356,0.3442,0.1411,1.0168
357,0.1394,0.0901,0.9973
358,-0.1733,-0.1042,0.9702
359,-0.0398,0.1152,0.8481
360,-0.0964,-0.0981,0.9517
361,-0.1514,-0.1138,1.0015
362,0.0264,0.0178,0.9478
363,-0.0493,-0.1003,1.0454
364,-0.0205,-0.0142,1.0415
365,0.3499,0.0007,0.8970
366,-0.1072,-0.0540,0.9875
367,0.3042,0.0701,0.9885
368,0.1272,-0.0056,1.0364
369,0.1335,0.1958,0.9143
370,-0.2031,0.0649,0.9526
371,-0.0974,0.1997,0.9143
372,-0.0735,0.0098,1.0862
373,-0.0874,-0.0518,1.0081
374,-0.1616,-0.0505,0.8228
375,0.1318,0.1543,0.9895
376,-0.0454,-0.1328,1.1536
377,0.1897,-0.1003,1.0718
378,0.1277,-0.1096,1.0471
379,0.1667,-0.0479,0.9690
380,0.2241,-0.0317,0.8762
381,0.3159,-0.0862,0.9719
382,-0.0562,-0.1196,1.0413
383,0.0574,0.0366,1.0872
384,-0.3542,0.0425,0.8879
385,-0.3823,0.1746,0.9702
386,-0.9929,-0.1792,1.2278
387,-1.0034,0.2646,0.7622
388,-1.2253,0.1763,0.9651
389,-0.7664,-0.0178,1.1917
390,-0.6011,0.0496,0.6958
391,-0.8589,-0.2173,1.2007
392,-0.2451,0.1255,0.7397
393,0.1296,0.0562,0.9077
394,-0.2104,-0.1562,1.2192
395,0.0740,-0.1797,1.0571
396,-0.3252,-0.0159,1.0747
397,-0.3083,0.1409,1.1360
398,-0.6216,-0.0483,0.7710
399,-0.8374,-0.1753,1.1968
