Sample,X,Y,Z
0,0.0061,0.0100,0.9885
1,0.0071,0.0056,0.9917
2,0.0093,0.0088,0.9729
3,0.0076,0.0051,0.9771
4,0.0090,0.0120,0.9885
5,0.0066,0.0115,0.9807
6,0.0129,0.0117,0.9741
7,0.0015,0.0100,0.9907
8,0.0083,0.0137,0.9907
9,0.0085,0.0098,0.9741
10,0.0120,0.0059,0.9849
11,0.0081,0.0071,0.9915
12,0.0078,0.0107,0.9778
13,0.0095,0.0151,0.9790
14,0.0083,0.0139,0.9836
15,0.0063,0.0073,0.9827
16,0.0156,0.0054,0.9827
17,0.0012,0.0085,0.9790
18,-0.0015,0.0105,0.9810
19,0.0144,0.0100,0.9807
20,0.0090,0.0134,0.9780
21,0.0051,0.0078,0.9827
22,0.0110,-0.0017,0.9827
23,0.0085,0.0071,0.9849
24,0.0095,0.0090,0.9819
25,0.0068,0.0078,0.9817
26,0.0088,0.0112,0.9846
27,0.0125,0.0078,0.9739
28,-0.0007,0.0029,0.9797
29,0.0051,0.0117,0.9800
30,0.0144,0.0154,0.9807
31,0.0024,-0.0005,0.9827
32,0.0085,0.0054,0.9800
33,0.0098,0.0103,0.9749
34,0.0039,0.0098,0.9829
35,0.0024,0.0071,0.9858
36,0.0095,0.0198,0.9729
37,0.0076,0.0088,0.9846
38,0.0049,0.0095,0.9846
39,0.0125,0.0120,0.9751
40,0.0088,0.0110,0.9817
41,0.0037,0.0032,0.9836
42,0.0076,0.0120,0.9810
43,0.0120,0.0122,0.9768
44,0.0059,0.0029,0.9810
45,0.0078,0.0269,0.9827
46,0.0063,0.0085,0.9800
47,0.0090,0.0115,0.9751
48,0.0083,0.0159,0.9758
49,0.0024,0.0044,0.9790
50,0.0049,0.0066,0.9839
51,0.0046,0.0142,0.9839
52,0.0078,0.0139,0.9849
53,0.0090,0.0044,0.9819
54,0.0525,0.1743,1.0413
55,0.1011,0.4197,0.9995
56,0.0078,0.6108,1.0266
57,-0.0974,0.8208,0.9583
58,-0.0549,1.0444,0.8752
59,-0.1150,1.0396,0.9036
60,-0.1707,0.7925,1.0481
61,0.1138,1.1499,1.0129
62,0.1594,1.1033,0.7271
63,0.0564,0.7878,1.0337
64,0.0266,0.4966,0.7620
65,-0.0217,0.3267,0.9329
66,0.2854,0.3982,1.0972
67,-0.0415,0.1831,1.0793
68,-0.2627,-0.1790,1.1204
69,0.0354,0.0662,0.9712
70,0.1008,0.4395,0.8782
71,-0.1340,0.2251,1.1506
72,-0.1541,0.1558,0.9514
73,0.0811,0.5046,0.8325
74,0.1101,0.8296,0.9700
75,-0.1545,0.8923,1.0288
76,-0.1191,0.7778,1.0393
77,0.0828,0.7974,1.0481
78,0.1829,0.8767,1.0024
79,-0.0481,0.8979,1.0471
80,0.0493,0.7957,0.9604
81,0.0852,0.6833,0.9360
82,0.0645,0.5679,0.9319
83,0.0298,0.4526,0.9915
84,-0.2368,0.2625,0.9771
85,0.0354,0.3376,0.9976
86,0.0969,0.2312,0.9390
87,-0.0024,0.3772,0.8840
88,-0.1240,0.4097,1.0129
89,-0.1658,0.3394,0.8743
90,0.0237,0.4175,0.9514
91,0.0168,0.5925,0.9497
92,-0.0876,0.5991,1.0071
93,-0.0989,0.7625,1.1235
94,0.0244,0.6423,0.9331
95,0.0708,0.8022,0.8625
96,0.0657,0.7905,0.9290
97,0.1848,0.8123,1.0181
98,0.1121,0.7224,1.0220
99,0.0085,0.6040,0.8127
100,0.0732,0.4226,1.0796
101,-0.1602,-0.0627,0.7073
102,-0.1233,-0.2197,0.9585
103,0.1868,-0.2803,1.2271
104,-0.0024,-0.4016,0.9231
105,0.0903,-0.5571,1.0151
106,-0.0964,-0.6008,1.1868
107,0.0483,-0.6323,0.7300
108,-0.0513,-0.5161,0.9302
109,-0.0833,-0.6089,0.8970
110,-0.0894,-0.1948,1.1538
111,0.0872,0.0120,1.0640
112,0.1128,0.0220,0.8645
113,-0.0674,0.3101,0.8342
114,-0.0579,0.4575,1.1487
115,0.0771,0.5396,0.9299
116,0.0786,0.5044,1.1516
117,0.0044,0.2065,0.9133
118,-0.0522,0.1812,0.7812
119,-0.0745,0.1711,0.9846
120,0.0322,-0.0063,1.0471
121,0.0793,-0.1018,0.9653
122,0.0479,-0.4104,1.0872
123,0.1792,-0.3384,1.0015
124,-0.0046,-0.3547,1.1643
125,0.0200,-0.2903,0.9036
126,0.0217,-0.3433,0.8003
127,-0.0051,-0.2524,0.9692
128,-0.0505,-0.2327,1.0627
129,-0.0676,-0.0796,1.0161
130,-0.0867,0.0728,1.0100
131,0.1025,0.3904,0.8599
132,0.0713,0.2407,1.0237
133,0.0024,0.3813,0.9758
134,0.0732,0.3159,1.0276
135,0.0061,-0.0024,0.9888
136,-0.0146,0.0798,1.0894
137,0.0620,-0.0752,0.8569
138,-0.1472,0.0332,0.9944
139,0.0051,-0.1047,0.8450
140,-0.0076,-0.0630,1.1606
141,-0.0159,-0.1594,0.9309
142,-0.1138,-0.1418,0.9758
143,0.0217,-0.1206,0.7788
144,-0.0601,-0.0430,0.9778
145,-0.0090,-0.3271,0.8872
146,-0.0435,-0.0288,1.0815
147,-0.0205,0.0127,0.8472
148,0.2776,0.2888,1.2114
149,0.0671,0.1611,0.9104
150,0.0159,0.3452,1.0037
151,0.0347,0.1960,0.9565
152,-0.0854,0.2095,0.9875
153,-0.1106,0.1521,0.9019
154,-0.0603,0.1772,0.9553
155,-0.1211,0.1001,0.8831
156,-0.0513,-0.0422,1.1313
157,0.0735,0.0393,0.9761
158,0.0300,-0.1233,0.7102
159,0.1121,0.1113,1.0327
160,0.1028,-0.1309,0.9136
161,0.1042,0.0022,1.1011
162,0.0967,-0.2678,1.0774
163,-0.0894,-0.0637,1.0024
164,-0.1460,-0.1704,0.9702
165,-0.0276,-0.0703,1.0229
166,-0.0559,0.3252,1.0042
167,-0.0903,0.1450,0.8752
168,0.1504,0.2217,1.0295
169,-0.0071,-0.0779,0.8557
170,-0.1182,0.1653,0.9487
171,0.2300,0.1455,1.0305
172,0.0120,-0.0674,0.8862
173,0.0625,-0.0100,0.9075
174,0.0676,-0.0862,1.0667
175,0.0779,0.0779,1.0933
176,0.0542,-0.2424,0.6926
177,-0.0073,0.0266,1.0940
178,-0.1726,-0.2354,0.9165
179,-0.2395,-0.1040,0.9038
180,-0.0100,-0.0999,0.8333
181,-0.0139,-0.0696,1.1594
182,0.0657,-0.1797,0.9866
183,0.0059,-0.0930,1.1077
184,0.0742,0.1445,0.9175
185,0.0691,0.1067,0.9917
186,0.0085,-0.1685,0.9907
187,0.0229,-0.0085,0.9143
188,0.0620,-0.0078,1.1597
189,-0.0334,-0.0156,0.9797
190,-0.0447,0.0933,1.1011
191,0.1536,0.0952,0.8501
192,0.1111,0.1858,0.9360
193,0.0566,-0.0537,0.7905
194,-0.1545,-0.1343,1.1819
195,-0.0681,-0.0371,1.0188
196,-0.1248,-0.4709,0.7053
197,-0.3784,-0.2314,0.7876
198,-0.1877,0.0557,1.2192
199,0.2185,0.1526,0.9097
200,-0.0056,-0.2795,0.9797
201,0.2278,0.1758,1.0376
202,0.0864,-0.0208,0.9358
203,-0.0630,0.1350,0.8101
204,-0.0315,-0.1174,0.6838
205,-0.1262,0.1494,1.2512
206,-0.2041,-0.0679,0.9351
207,0.0850,0.2439,1.1577
208,0.1094,0.1201,0.8979
209,0.0540,0.3130,1.0823
210,0.0645,0.1304,0.7913
211,0.0569,0.2820,1.0288
212,-0.0156,-0.0674,0.8040
213,-0.1587,-0.0308,1.1528
214,-0.0256,-0.2349,0.9683
215,-0.0286,0.0112,1.1233
216,0.0684,0.1333,0.8843
217,0.0535,0.1677,1.0229
218,0.2312,0.1682,0.7737
219,0.0200,0.0498,0.9768
220,-0.0142,-0.0686,1.0315
221,-0.0076,-0.0605,0.8567
222,-0.1648,-0.1292,1.0852
223,-0.1418,-0.2278,0.9895
224,-0.0420,0.1636,1.0364
225,0.0205,0.0422,1.0071
226,0.0686,0.1670,1.0513
227,-0.0046,0.0815,0.7161
228,-0.0068,0.0820,1.1204
229,0.0435,0.0593,0.7476
230,-0.0430,0.0342,1.0239
231,-0.0078,0.0671,1.1772
232,0.2046,0.0305,1.1047
233,0.1057,0.0105,0.8225
234,0.0745,0.1980,1.1401
235,0.0688,-0.0688,0.6919
236,0.0024,0.1042,1.0972
237,0.0083,-0.3010,0.9241
238,-0.0969,-0.1831,1.0923
239,-0.0784,-0.2688,0.9885
240,-0.1221,-0.0300,0.9417
241,0.0696,-0.0405,0.8960
242,-0.0608,-0.0312,1.1470
243,0.0454,-0.0583,0.9807
244,-0.0034,0.0425,0.9214
245,-0.1165,0.1409,0.9290
246,-0.0093,-0.0635,0.8599
247,0.0220,0.0383,1.0200
248,0.0388,0.0869,1.0620
249,0.0483,0.0767,1.0481
250,0.1392,0.0459,0.9319
251,0.0605,-0.0518,0.9146
252,0.1670,0.0681,0.9409
253,-0.0791,-0.1555,1.2102
254,-0.0247,-0.2085,0.7983
255,-0.0806,-0.2026,0.9927
256,-0.1331,-0.1433,0.9741
257,-0.0618,0.1311,1.0042
258,-0.0435,0.0049,0.8030
259,0.0361,0.0793,0.9670
260,0.0051,-0.1006,0.9380
261,-0.0042,0.1218,1.0103
262,-0.0547,0.1343,0.8843
263,0.0071,0.2959,0.9419
264,0.0610,0.0627,1.0774
265,0.0627,-0.0271,0.9976
266,0.1609,0.2046,1.1018
267,0.1355,0.0535,0.9634
268,0.0549,-0.0046,1.0952
269,0.0950,0.2329,1.0120
270,-0.0442,0.1199,1.1360
271,-0.0532,-0.1094,0.8274
272,-0.1169,-0.1604,1.0403
273,-0.1926,-0.0713,0.8481
274,0.0127,0.0417,1.0679
275,0.0718,-0.1111,0.9146
276,0.1785,0.0107,1.0374
277,0.1750,-0.1252,1.1567
278,0.2122,0.0217,0.9036
279,0.0796,-0.0808,0.9192
280,-0.0276,0.1685,1.0686
281,-0.0212,-0.0012,0.8586
282,-0.1179,0.0913,1.1360
283,-0.0854,-0.0281,0.9282
284,-0.0371,0.1414,0.9983
285,-0.0608,0.0068,0.8059
286,-0.0718,0.2273,0.9517
287,0.0591,0.2358,1.0491
288,0.0127,0.0256,1.0657
289,0.0579,0.0632,0.9819
290,0.0754,-0.0044,1.0754
291,-0.0317,0.0254,0.9399
292,0.0032,-0.0012,0.9348
293,0.0273,0.0210,0.9653
294,-0.0444,-0.0569,1.0950
295,0.2273,-0.0745,0.9407
296,0.0637,-0.0181,1.1968
297,-0.1716,-0.1628,0.6799
298,-0.0337,0.0952,0.9868
299,-0.1033,-0.0454,0.8228
300,-0.1089,-0.0850,1.0317
301,0.0796,-0.0032,1.1958
302,-0.0979,0.0750,1.0520
303,0.0708,0.0237,0.8237
304,0.1338,0.0439,1.0149
305,0.1028,0.0264,0.9644
306,-0.0342,0.0359,1.2202
307,0.1570,0.1277,0.9497
308,-0.1404,0.0022,0.8481
309,-0.0786,-0.1802,0.8755
310,0.0889,0.1230,1.0356
311,-0.0613,-0.0339,1.0735
312,0.0308,-0.0063,0.8596
313,0.1370,0.1931,1.0991
314,-0.0081,-0.0935,0.8374
315,0.0486,0.1284,1.1272
316,-0.0996,-0.1438,0.9917
317,-0.0610,0.0037,0.9185
318,-0.0283,-0.0161,0.9272
319,-0.0679,-0.0720,1.0012
320,-0.0415,0.2119,1.0081
321,-0.0339,-0.0603,0.7817
322,0.0293,0.1416,0.9546
323,0.0837,0.0505,0.8586
324,0.0244,0.1040,0.9241
325,-0.0098,0.1553,0.9309
326,0.0217,-0.1753,0.8384
327,0.0735,0.0264,1.0317
328,-0.0752,-0.2473,1.0042
329,-0.0061,0.0894,1.0559
330,0.0791,0.0273,1.0598
331,-0.0103,-0.0449,1.0686
332,0.0034,-0.0708,1.0686
333,-0.0796,-0.0637,0.9614
334,0.1360,0.2517,1.0024
335,-0.0520,-0.2061,1.1155
336,0.1738,0.1187,0.9924
337,0.1084,0.0068,1.0239
338,-0.0068,-0.0774,0.8176
339,0.1401,0.2397,1.0178
340,-0.2249,-0.0110,0.9644
341,0.0083,0.2522,1.1030
342,-0.0801,0.1025,0.8794
343,-0.1130,0.1140,0.9749
344,-0.0522,0.1108,0.8188
345,0.0706,0.0842,0.8889
