Sample,X,Y,Z
181,0.0098,-0.1582,1.0559
182,0.1230,-0.0076,1.0923
183,-0.0969,-0.1438,0.9036
184,0.2402,0.1980,1.0229
185,0.0571,0.0686,0.8645
186,0.0020,0.0125,0.8752
187,0.0596,0.0557,1.0774
188,0.0027,-0.0244,1.0159
189,0.0632,-0.0354,0.9875
190,-0.0215,-0.0688,1.0083
191,-0.0811,0.1531,0.9321
192,-0.0186,-0.0972,0.8325
193,-0.0547,-0.0842,0.9673
194,-0.0334,-0.1223,0.9856
195,-0.1128,-0.3037,0.7456
196,-0.0649,-0.0347,0.9592
197,-0.0229,-0.1235,1.0903
198,-0.0530,-0.2056,1.0005
199,-0.0796,-0.0342,0.8940
200,0.0393,0.0251,0.8606
201,0.0237,0.0869,0.9761
202,0.0288,0.0127,0.9351
203,-0.0059,0.1599,0.9553
204,-0.0430,0.0376,1.0745
205,0.0188,0.1868,1.0112
206,0.0278,0.1360,0.9006
207,0.1223,0.1863,1.1216
208,0.1135,0.0583,0.9673
209,0.0510,-0.0056,0.9624
210,-0.1418,-0.1262,0.8921
211,-0.0249,0.1580,0.9487
212,-0.0510,-0.0886,1.0063
213,-0.1096,-0.0649,1.1001
214,0.0649,0.0850,0.9116
215,0.0657,0.0740,1.0493
216,0.2217,0.1147,0.8479
217,0.0779,0.0625,0.9846
218,0.0078,0.1248,1.0728
219,-0.1060,-0.1282,0.7632
220,0.0466,-0.0137,1.1545
221,-0.1440,-0.2068,0.9878
222,-0.0620,0.1162,1.1147
223,0.0525,0.1372,1.0579
224,0.1458,0.1277,0.9106
225,0.1230,0.1377,1.1001
226,0.0273,0.0574,0.9504
227,-0.1265,0.1853,0.9341
228,0.0044,-0.0764,0.9185
229,0.0588,-0.0325,0.9858
230,-0.1184,0.0059,1.2065
231,0.1514,-0.0095,0.9458
232,0.0896,0.0784,0.9194
233,0.2063,0.0935,0.9341
234,0.0850,0.1050,1.0588
235,0.0720,0.0635,0.9233
236,-0.0481,-0.1365,1.0093
237,-0.0583,-0.2769,1.0132
238,-0.0969,-0.2004,1.0601
239,-0.1313,0.0078,1.0100
240,0.0964,-0.1382,1.0679
241,0.0137,0.0208,1.0493
242,0.0581,0.0076,0.9133
243,0.0500,-0.0063,0.7803
244,-0.2036,0.1428,1.0532
245,-0.0659,0.0251,0.9487
246,0.0439,0.1270,1.0188
247,-0.0195,-0.0933,0.9514
248,-0.0693,0.1689,1.0767
249,0.1267,0.0271,0.8743
250,0.1296,0.1360,0.9309
251,-0.0010,-0.0742,0.8423
252,0.0320,0.0327,1.1799
253,-0.0100,-0.1274,0.7476
254,-0.0417,-0.1079,1.0073
255,0.0164,-0.1379,1.1409
256,-0.0637,-0.1294,1.0474
257,-0.0193,-0.0261,0.8674
258,0.1223,-0.0049,0.9312
259,0.0662,0.1160,1.0815
260,-0.0461,-0.1995,0.7913
261,-0.0244,0.2439,1.1421
262,-0.1350,-0.0542,0.7456
263,0.0266,0.3396,1.1040
264,0.0054,0.0945,0.9263
265,0.0198,0.1968,1.0452
266,0.0466,0.0593,0.9604
267,0.1528,0.1865,1.1047
268,0.1870,0.0510,0.8245
269,-0.0371,0.0654,1.0422
270,0.0259,0.0601,1.0200
271,-0.0203,-0.1350,0.9895
272,-0.1333,-0.1646,1.1255
273,-0.0142,-0.2166,0.8342
274,0.0051,-0.0513,1.1665
275,-0.0242,-0.1169,0.9485
276,0.1160,0.0522,0.9387
277,0.1492,-0.0627,1.0239
278,0.1626,0.1235,1.0959
279,0.0513,-0.0808,0.9045
280,0.0115,0.1125,1.0325
281,0.0261,0.0732,0.8638
282,-0.1470,0.0613,0.9380
283,-0.1614,0.1287,0.8003
284,-0.0835,0.2791,1.1431
285,-0.0476,-0.0339,0.8127
286,0.0220,0.1462,1.0520
287,0.0122,-0.0405,0.9771
288,0.0579,0.1157,1.0063
289,-0.0540,-0.0886,1.0503
290,0.0901,-0.1624,0.7261
291,0.1409,-0.0300,1.1968
292,-0.0996,-0.1062,1.0608
293,0.1223,0.1531,0.8779
294,-0.0601,0.0383,0.9380
295,-0.0544,0.1562,1.0491
296,0.0476,-0.0259,0.8042
297,-0.1418,0.0295,1.1060
298,0.0127,-0.0552,0.9380
299,0.0010,0.0649,1.0718
300,0.0293,0.0054,0.9009
301,-0.0142,0.0337,0.9585
