Sample,X,Y,Z
0,0.0029,0.0217,0.9807
1,0.0095,0.0098,0.9819
2,0.0056,0.0056,0.9829
3,0.0156,0.0110,0.9836
4,0.0054,0.0183,0.9868
5,0.0002,0.0164,0.9729
6,0.0139,0.0051,0.9788
7,0.0146,0.0056,0.9905
8,-0.0042,0.0137,0.9849
9,0.0044,0.0156,0.9692
10,0.0139,0.0095,0.9829
11,0.0095,0.0085,0.9927
12,0.0090,0.0144,0.9761
13,0.0090,0.0112,0.9797
14,0.0085,0.0054,0.9839
15,0.0068,0.0061,0.9907
16,0.0061,0.0142,0.9810
17,0.0112,0.0093,0.9800
18,0.0100,0.0100,0.9888
19,0.0076,0.0110,0.9934
20,0.0100,0.0132,0.9741
21,0.0085,0.0093,0.9797
22,0.0085,0.0015,0.9946
23,0.0056,0.0117,0.9856
24,0.0117,0.0154,0.9790
25,0.0056,0.0046,0.9915
26,0.0085,0.0034,0.9817
27,0.0137,0.0117,0.9758
28,0.0095,0.0071,0.9856
29,0.0076,0.0076,0.9817
30,0.0034,0.0134,0.9827
31,0.0176,0.0159,0.9868
32,0.0066,0.0098,0.9771
33,0.0071,0.0051,0.9788
34,0.0122,0.0154,0.9866
35,0.0110,0.0168,0.9846
36,0.0100,0.0137,0.9807
37,0.0139,0.0166,0.9888
38,0.0110,0.0132,0.9836
39,0.0129,0.0129,0.9768
40,0.0090,0.0120,0.9866
41,0.0132,0.0073,0.9829
42,0.0156,0.0088,0.9741
43,0.0073,0.0127,0.9937
44,0.0103,0.0200,0.9846
45,0.0083,0.0132,0.9719
46,0.0093,0.0078,0.9866
47,0.0173,0.0132,0.9868
48,0.0103,0.0144,0.9692
49,0.0100,0.0110,0.9888
50,0.0149,0.0093,0.9885
51,0.0071,0.0188,0.9739
52,0.0210,0.0063,0.9819
53,0.3257,-0.0457,0.9192
54,1.0063,0.0010,0.8821
55,1.2229,-0.0525,1.1245
56,1.0042,-0.3013,1.2935
57,0.7593,0.2114,0.6418
58,0.6362,0.1453,0.4963
59,1.1636,-0.0291,1.2971
60,0.4790,-0.0613,1.4192
61,-0.1133,0.2764,0.8069
62,0.0242,-0.0181,0.7837
63,0.3657,0.3364,0.6467
64,0.3589,-0.1370,1.2581
65,0.2971,0.0139,1.3354
66,0.2341,-0.0623,0.7651
67,0.6235,-0.1033,0.6750
68,0.9534,-0.0496,1.0483
69,1.1646,0.1445,1.1458
70,0.9114,0.0479,0.8960
71,0.6428,-0.1787,1.0347
72,0.7632,-0.0613,1.1038
73,0.3887,0.1824,0.8765
74,0.2437,0.3008,0.7434
75,0.2351,-0.0156,1.0181
76,0.4849,-0.0581,1.1907
77,0.2913,-0.0591,1.0679
78,0.3723,0.0586,0.9546
79,0.6096,0.0464,0.8032
80,0.6389,-0.0593,0.9985
81,0.6438,0.0039,1.1157
82,0.9937,0.0637,0.8752
83,0.6450,0.0947,0.9250
84,0.8245,0.0012,1.0532
85,0.6604,-0.0532,1.0464
86,0.2085,-0.0474,0.9475
87,0.6106,0.1208,0.9468
88,0.0479,-0.1030,0.9761
89,0.3921,0.0532,0.9446
90,0.4990,0.0613,1.1145
91,0.3147,0.0601,0.9800
92,0.6526,0.0872,0.9653
93,0.4683,-0.1221,0.9377
94,0.7815,0.0593,0.9263
95,0.6604,0.0220,1.0347
96,0.8264,0.1155,1.0005
97,0.4524,0.0103,0.8628
98,0.7268,0.0188,1.1519
99,0.3354,0.0615,0.9895
100,0.2351,0.1350,0.9465
101,-0.4153,-0.1958,0.9771
102,-0.4341,-0.0271,1.1060
103,-0.2292,0.1880,0.6624
104,-0.6714,-0.1326,1.2329
105,-0.5444,-0.2227,1.1362
106,-0.3396,0.1196,0.7571
107,0.0801,0.1421,0.9846
108,0.3674,-0.0442,0.9780
109,0.2778,0.0022,0.8694
110,0.4749,-0.0449,1.1851
111,0.4634,-0.0266,1.1633
112,0.1875,-0.0046,0.8960
113,0.1619,0.0791,0.8794
114,-0.1655,-0.1819,1.1135
115,0.0232,0.1541,0.9526
116,-0.4536,-0.0090,1.0620
117,-0.2317,0.0630,1.0403
118,-0.3210,-0.0327,0.7278
119,-0.3345,-0.1455,0.9155
120,0.3069,0.1072,1.0630
121,-0.1765,-0.2874,1.0374
122,0.0952,-0.1028,1.0266
123,0.5032,-0.0051,1.0894
124,-0.1296,0.0601,0.8967
125,0.2620,0.0935,0.8101
126,-0.0876,0.0107,0.9897
127,0.3176,0.0852,1.1235
128,-0.2637,-0.1306,1.1174
129,-0.0110,0.0835,1.0200
130,-0.1736,0.1060,0.9250
131,-0.1118,-0.0764,0.9612
132,-0.0627,0.0291,0.9280
133,-0.0688,0.0061,0.9202
134,-0.0713,0.0210,0.9839
135,0.1045,0.0225,0.9104
136,0.0679,0.0762,1.0559
137,0.0310,0.0088,0.8821
138,-0.0334,-0.0723,0.8840
139,0.3550,0.0251,1.0911
140,-0.0049,-0.0710,0.9849
141,-0.0232,-0.0042,0.9966
142,0.0686,0.0842,1.0344
143,-0.0415,0.0552,0.9468
144,-0.0125,-0.0063,1.0354
145,-0.1943,0.0095,1.0452
146,-0.0579,-0.0850,0.9895
147,0.0525,-0.0347,1.1213
148,0.1035,0.0881,0.9985
149,-0.1978,-0.0144,0.8823
150,0.2607,-0.0105,0.8870
151,0.2202,0.0527,1.0276
152,0.2305,0.0530,0.9592
153,0.2444,0.0061,1.0767
154,-0.1304,-0.0820,0.8569
155,-0.0439,0.0283,0.9751
156,0.1172,0.1326,0.9849
157,0.0088,0.0862,0.8977
158,-0.3298,-0.0969,1.1614
159,-0.1777,-0.0398,1.0286
160,0.2649,0.2129,0.9075
161,-0.3787,-0.1140,0.9065
162,0.1433,0.1052,0.9097
163,0.0520,-0.1077,1.0208
164,0.2253,0.0679,1.2346
165,-0.0930,-0.1614,0.8938
166,0.1191,-0.0352,0.8733
167,0.3142,0.0535,0.9487
168,-0.1531,0.0415,1.0852
169,0.4133,0.2112,0.9575
170,-0.3396,-0.1201,0.9749
